id,worth in Billion USD,age,gender,Country,image,name,industry,company_name,GDP in Billions USD
3228,1.5,79.0,Female,Germany,https://specials-images.forbesimg.com/imageserve/a91e8fae900cf6fb90ad6202e1a7c387/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=23&cropY2=766,Monika Schoeller,Media & Entertainment , publishing,3996.759
3653,1.1,47.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/5a7e2c6a31358e4955ad1168/416x416.jpg?background=000000&cropX1=994&cropX2=3323&cropY1=10&cropY2=2339,Marc Samwer,Technology , tech investments,3996.759
3707,1.1,44.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/5a7e30c54bbe6f2652f527bf/416x416.jpg?background=000000&cropX1=343&cropX2=3006&cropY1=6&cropY2=2667,Oliver Samwer,Technology , tech investments,3996.759
6460,23.0,53.0,Male,Italy,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Giovanni Ferrero,Food and Beverage ," Nutella, chocolates",2073.902
5308,8.9,83.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/59d5806f31358e542c0356b8/416x416.jpg?background=000000&cropX1=2370&cropX2=4230&cropY1=156&cropY2=2014,Giorgio Armani,Fashion & Retail , luxury goods,2073.902
3708,3.5,74.0,None,Italy,https://specials-images.forbesimg.com/imageserve/48e7014b81dcbb5af16440c90335228e/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=0&cropY2=741,Carlo Benetton,Fashion & Retail ," fashion retail, investments",2073.902
6845,3.5,83.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f9684a7ea431690132eb0/416x416.jpg?background=000000&cropX1=339&cropX2=1832&cropY1=240&cropY2=1734,Luciano Benetton,Fashion & Retail ," fashion retail, investments",2073.902
1193,2.5,49.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f962331358e4955ad1e47/416x416.jpg?background=000000&cropX1=171&cropX2=1440&cropY1=206&cropY2=1475,Luca Garavoglia,Food and Beverage , spirits,2073.902
6862,2.2,83.0,Female,Italy,https://specials-images.forbesimg.com/imageserve/589f9d9fa7ea431f32194ceb/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=187&cropY2=873,Maria Franca Fissolo,Food and Beverage ," Nutella, chocolates",2073.902
3321,1.8,64.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f85704bbe6f2652f5331d/416x416.jpg?background=000000&cropX1=387&cropX2=2671&cropY1=107&cropY2=2393,Diego Della Valle,Fashion & Retail , shoes,2073.902
